Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",2015/7/1,728535,1961
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010/8/27,833444,1885
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018/11/13,779152,1976
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973/6/30,200406,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006/6/2,1043604,1996
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975/6/30,19617,2000 (1799 / 1871)
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989/9/11,55067,1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994/3/1,91576,1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018/11/6,1601046,2014
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015/7/6,1637459,2015 (1869)
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006/4/4,879101,1958
KLAC,KLA,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957/3/4,55785,1872
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012/5/25,1506307,1997
KMX,CarMax,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010/6/28,1170010,1993
KO,Coca-Cola,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957/3/4,21344,1886
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957/3/4,56873,1883
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",,60086,1959
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019/8/9,1336920,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005/10/4,920760,1954
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2004/11/1,920148,1978
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008/9/22,202058,2019 (1895)
LIN,Linde,Materials,Industrial Gases,"Guildford, England",1992/7/1,1707925,1879
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016/5/23,1065696,1998
LLY,Lilly,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970/12/31,59478,1876
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984/7/31,936468,1995
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976/6/30,59558,1905
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016/7/1,352541,1917
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984/2/29,60667,1904/1946/1959
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",2012/6/29,707549,1980
LUMN,Lumen,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999/3/25,18926,1983 (1877)
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1994/7/1,92380,1967
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019/10/3,1300514,1988
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018/12/3,1679273,2016 (1950)
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012/9/5,1489393,2007
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019/12/23,1335258,2010
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008/7/18,1141391,1966
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",2016/12/2,912595,1977
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981/6/30,62996,1929
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970/6/30,63908,1940
MCHP,Microchip,Information Technology,Semiconductors,"Chandler, Arizona",2007/9/7,827054,1989
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833
MCO,Moody's,Financials,Financial Exchanges & Data,"New York City, New York",,1059556,1909
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012/10/2,1103982,2012
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986/10/31,1613103,1949
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",,1099219,1868
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017/7/26,789570,1986
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013/12/23,851968,1878
MKC,McCormick,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003/3/20,63754,1889
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019/7/1,1278021,2000
MLM,Martin Marietta,Materials,Construction Materials,"Raleigh, North Carolina",2014/7/2,916076,1993
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York City, New York",1987/8/31,62709,1905
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976/8/9,66740,1902
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012/6/28,865752,2012 (1935)
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957/3/4,764180,1985
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022/3/2,1179929,1980
MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011/9/26,1285785,2004 (1865 / 1909)
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011/7/1,1510295,2009 (1887)
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021/2/12,1280452,1997
MRK,Merck,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957/3/4,310158,1891
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021/7/21,1682852,2010
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991/5/1,101778,1887
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",,895421,1935
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018/4/4,1408198,1969
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994/6/1,789019,1975
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011)
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004/2/23,36270,1856
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021/9/20,891103,1986
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016/9/6,1037646,1945
MU,Micron,Information Technology,Semiconductors,"Boise, Idaho",1994/9/27,723125,1978
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017/10/13,1513761,2011 (1966)
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York City, New York",2008/10/22,1120193,1971
NDSN,Nordson,Industrials,Industrial Machinery,"Westlake, Ohio",2022/2/15,72331,1935
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976/6/30,753308,1984 (1925)
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969/6/30,1164727,1921
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010/12/20,1065280,1997
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988/11/30,320187,1964
NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",2003/3/25,849399,1982
NLSN,Nielsen,Industrials,Research & Consulting Services,"New York City, New York",2013/7/9,1492633,1923
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985/6/30,1133421,"1994 (Northrop 1939, Grumman 1930)"
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019/11/21,1373715,2003
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010/1/29,1013871,1992
NSC,Norfolk Southern,Industrials,Railroads,"Norfolk, Virginia",1957/3/4,702165,1881/1894 (1980)
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999/6/25,1002047,1992
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985/4/30,73309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001/11/30,1045810,1993
NVR,NVR,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019/9/26,906163,1980
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989/4/30,814453,1903
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015/9/18,1564708,2013 (1980)
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013/8/1,1564708,2013 (1980)
NXPI,NXP,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021/3/22,1413447,1953
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015/4/7,726728,1969
ODFL,Old Dominion,Industrials,Trucking,"Thomasville, North Carolina",2019/12/9,878927,1934
OGN,Organon,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021/6/3,1821825,2021
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010/3/15,1039684,1906
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",,29989,1986
ORCL,Oracle,Information Technology,Application Software,"Austin, Texas",1989/8/31,1341439,1977
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009/3/27,898173,1957
OTIS,Otis,Industrials,Industrial Machinery,"Farmington, Connecticut",2020/4/3,1781335,2020 (1853)
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982/12/31,797468,1920
PARA,Paramount,Communication Services,Movies & Entertainment,"New York City, New York",,813828,2019 (1952)
PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020/1/28,1590955,1998
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980/12/31,75362,1905
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",2008/3/31,765880,1985
PEG,PSEG,Utilities,Electric Utilities,"Newark, New Jersey",1957/3/4,788784,1903
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",2021/3/22,921738,1972
PEP,PepsiCo,Consumer Staples,Soft Drinks,"Purchase, New York",1957/3/4,77476,1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957/3/4,78003,1849
PFG,Principal,Financials,Life & Health Insurance,"Des Moines, Iowa",2002/7/22,1126328,1879
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957/3/4,80424,1837
PGR,Progressive,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997/8/4,80661,1937
PH,Parker,Industrials,Industrial Machinery,"Cleveland, Ohio",1985/11/30,76334,1917
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984/4/30,822416,1956
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",2017/7/26,75677,1959
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985/5/31,31791,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003/7/17,1045609,1983
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008/3/31,1413329,2008 (1847)
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988/4/30,713676,1845
PNR,Pentair,Industrials,Industrial Machinery,"Worsley, England",2012/10/1,77360,1966
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020/10/7,945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957/3/4,79879,1883
PPL,PPL,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920
PRU,Prudential,Financials,Life & Health Insurance,"Newark, New Jersey",2002/7/22,1137774,1875
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005/8/19,1393311,1972
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012/5/1,1534701,2012 (1917)
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021/4/20,857005,1985
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2013/2/15,78239,1881
PWR,Quanta,Industrials,Construction & Engineering,"Houston, Texas",2009/7/1,1050915,1997
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008/9/24,1038357,1997
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015/7/20,1633917,1998
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,804328,1985
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015/6/11,1604778,2015
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014/12/5,884887,1997
RE,Everest,Financials,Reinsurance,"Hamilton, Bermuda",2017/6/19,1095073,1973
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017/3/2,910606,1963
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013/5/1,872589,1988
RF,Regions,Financials,Regional Banks,"Birmingham, Alabama",1998/8/28,1281761,1971
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000/12/5,315213,1948
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017/3/20,720005,1962
RL,Ralph Lauren,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007/2/2,1037038,1967
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017/7/26,943819,1989
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903
ROL,Rollins,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018/10/1,84839,1948
ROP,Roper,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009/12/23,882835,1981
ROST,Ross,Consumer Discretionary,Apparel Retail,"Dublin, California",2009/12/21,745732,1982
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008/12/5,1060391,1998 (1981)
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017/9/1,1034054,1989
SBNY,Signature Bank,Financials,Regional Banks,"New York City, New York",2021/12/20,1288784,2001
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000/6/7,829224,1971
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997/6/2,316709,1971
SEDG,SolarEdge,Information Technology,Semiconductor Equipment,"Herzliya, Israel",2021/12/20,1419612,2006
SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",1957/3/4,1012100,1960
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964/6/30,89800,1866
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018/3/19,719739,1983
SJM,Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008/11/6,91419,1897
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965/3/31,87347,1926
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982/9/30,91440,1920
SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California",2017/3/16,883241,1986
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957/3/4,92122,1945
SPG,Simon,Real Estate,Retail REITs,"Indianapolis, Indiana",2002/6/26,1063761,2003
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",,64040,1917
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019/12/23,1757898,1985
STT,State Street,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792
STX,Seagate,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012/7/2,1137789,1979
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005/7/1,16918,1945
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",1982/9/30,93556,1843
SWKS,Skyworks,Information Technology,Semiconductors,"Woburn, Massachusetts",2015/3/12,4127,2002
SYF,Synchrony,Financials,Consumer Finance,"Stamford, Connecticut",2015/11/18,1601712,2003
SYK,Stryker,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000/12/12,310764,1941
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986/12/31,96021,1969
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
TAP,Molson Coors,Consumer Staples,Brewers,"Chicago, Illinois",1976/6/30,24545,"2005 (Molson 1786, Coors 1873)"
TDG,TransDigm,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016/6/3,1260221,1993
TDY,Teledyne,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020/6/22,1094285,1960
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021/8/30,842023,1976
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011/10/17,1385157,2007
TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020/9/21,97210,1960
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",1997/12/4,92230,1872
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019/1/18,96943,1943
TGT,Target,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976/12/31,27419,1902
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985/9/30,109198,1987
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004/8/3,97745,2006 (1902)
TMUS,T-Mobile,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019/7/15,1283699,1994
TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021/1/21,864749,1978
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TRV,Travelers,Financials,Property & Casualty Insurance,"New York City, New York",2002/8/21,86312,1853
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014/1/24,916365,1938
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020/12/21,1318605,2003
TSN,Tyson,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005/8/10,100493,1935
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010/11/17,1466258,1871
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018/3/19,946581,1993
TWTR,Twitter,Communication Services,Interactive Media & Services,"San Francisco, California",2018/6/7,1418091,2006
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978/12/31,217346,1923
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020/6/22,860731,1966
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016/4/8,1336917,1996
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014/5/1,1336917,1996
UAL,United Airlines,Industrials,Airlines,"Chicago, Illinois",2015/9/3,100517,1967
UDR,UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016/3/7,74208,1972
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014/9/20,352915,1979
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016/4/18,1403568,1990
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994/7/1,731766,1977
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",1957/3/4,100885,1862
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002/7/22,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014/9/20,1067701,1997
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
V,Visa,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009/12/21,1403161,1958
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979/6/30,103379,1899
VLO,Valero,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1999/6/30,1396009,1909
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York",2005,899689,1982
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015/10/8,1442145,1971
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006/2/1,1014473,1995
VRTX,Vertex,Health Care,Biotechnology,"Cambridge, Massachusetts",2013/9/23,875320,1989
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009/3/4,740260,1998
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004/4/23,1792044,1961
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983/11/30,732712,1983 (1877)
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019/2/27,943452,1999 (1869)
WAT,Waters,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979/12/31,1618921,2014
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022/4/11,1437107,2022
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009/7/1,106040,1970
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008/10/31,783325,1896
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009/1/30,766704,1970
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976/6/30,72971,1852
WHR,Whirlpool,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WMB,Williams,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975/3/31,107263,1908
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982/8/31,104169,1962
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019/12/5,11544,1967
WRK,WestRock,Materials,Paper Packaging,"Atlanta, Georgia",,1732845,2015
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020/5/22,105770,1923
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, England",2016/1/5,1140536,2016
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington",,106535,1900
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008/11/14,1174922,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957/3/4,72903,1909
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957/3/4,34088,1999
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008/11/14,818479,2016 (1969)
XYL,Xylem,Industrials,Industrial Machinery,"White Plains, New York",2011/11/1,1524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997/10/6,1041061,1997
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001/8/7,1136869,1927
ZBRA,Zebra,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019/12/23,877212,1969
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",2001/6/22,109380,1873
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013/6/21,1555280,1952
